"nama","nomor_batch","tanggal_expired","isi1","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"PROPANOLOL 10 ML","","01/03/2029","","TAB","ORAL","BIASA","100","25","125","11","111","0.00","113.00"
"MALTIRON SYRUP 100ML","_","31/08/2026","_","_","_","","38,850","16","45,066","11","43,124","0.00","1.00"
"VOMETA DROPS","","30/03/2026","DOMPERIDONE","FL","SYRUP","BIASA","65,046","16","75,454","11","72,202","0.00","3.00"
"GLICAB 80MG","_","01/01/2026","_","_","_","BIASA","489","16","567","11","543","0.00","557.00"
"VICKS VAPORUB 25GR","0","25/10/2025","0","POT","LUAR","BIASA","18,600","16","21,576","11","20,646","0.00","1.00"
"MG 40 PER 50ML","-","30/08/2025","-","BOTOL","ORAL","BIASA","0","0","111,000","0","0","0.00","12.00"
"CENDO SILOXAN 5ML","-","30/06/2025","SILOXAN","BOTOL","EYEDROP","BIASA","0","0","58,553","0","0","0.00","2.00"
"PROPANOLOL 40MG","-","31/03/2025","-","TAB","ORAL","BIASA","0","0","177","0","177","0.00","100.00"
"ULTRAFLU STRIP","","10/01/2025","","STRIP","ORAL","BIASA","3,143","16","3,646","11","3,489","0.00","3.00"
"COMBANTRIN SYR JERUK","","10/01/2025","","","","","19,358","16","22,455","11","21,487","0.00","1.00"
"VOLTAREN GEL 20GR","","10/01/2025","","","","BIASA","96,792","16","112,279","11","107,440","0.00","2.00"
"VALSARTAN 160MG","","09/01/2025","","","","","7,215","16","8,370","11","8,009","0.00","20.00"
"MECOBALAMIN 500MCG","","08/01/2025","","","","","901","16","1,045","11","1,000","0.00","100.00"
"VIT K 10MG (PHYTOMENADION)","","07/01/2025","","","","","1,137","16","1,319","11","1,263","0.00","100.00"
"SALBUTAMOL 4 MG TAB","","06/01/2025","SALBUTAMOL","TAB","ORAL","","400","25","500","0","400","0.00","100.00"
"TOLAK ANGIN ANAK","","06/01/2025","","","","BIASA","2,700","16","3,132","11","2,997","0.00","0.00"
"SALBUTAMOL 2 MG TAB","","06/01/2025","SALBUTAMOL","TAB","ORAL","","200","25","250","0","200","0.00","0.00"
