nama,nomor_batch,tanggal_expired,isi1,satuan,jenis,kelompok,harga_beli,up_a,harga_a,up_b,harga_b,stok_awal,stok_akhir
ABILIVY TAB 10MG,,22/03/2023,ARIPIPRAZOLE 10MG,TAB,TAB,BIASA,4400,20,4972,21,51595,0,3
ABILIVY TAB 5MG,,,ARIPIPRAZOLE 5MG,TAB,TAB,BIASA,0,22,28378,21,28378,0,-10
AB-VASK 10MG,,30/04/2027,AMLODIPIN 10 MG,TAB,TAB,BIASA,13875,16,16095,11,15401,0,50
AB-VASK 5MG,,28/02/2027,AMLODIPIN 5 MG,TAB,TAB,BIASA,7770,16,0,11,7493,0,85
AFAMED 320MG,,,,KAPSUL,TAB,BIASA,0,16,8510,11,8510,0,-1
AGREZOL 50MG TABLET,,,,TAB,TAB,BIASA,0,16,6380,11,6380,0,0
ALABETIC CAPS,,,,TABLET,TAB,BIASA,0,16,4400,11,4400,0,-1
ALCO DROP,,,,FLS,DROP,BIASA,0,16,101010,11,101010,0,0
"ALGANAX 0,5MG",,30/05/2026,"ALPRAZOLAM 0,5",TAB,TAB,PSIKOTROPIKA,3885,25,0,25,3885,0,296
ALGANAX 1MG,,30/08/2026,ALPRAZOLAM 1,TAB,TAB,PSIKOTROPIKA,5994,25,0,25,5994,0,529
ALINAMIN F TABLET,,,,TAB,TAB,BIASA,0,16,1320,11,1320,0,0
ALOCLAIR PLUS 8ML GEL,,,,TUBE,SLP,BIASA,0,16,85470,11,85470,0,0
AMADIAB 1,,30/10/2025,GLIMEPIRIDE 1MG,TAB,TAB,BIASA,3552,16,0,11,3219,0,55
AMADIAB 2,,30/12/2025,GLIMEPIRIDE 2MG,TAB,TAB,BIASA,6105,16,0,11,5828,0,97
AMADIAB 3,,30/03/2025,GLIMEPIRIDE 3MG,TAB,TAB,BIASA,7548,16,0,11,7215,0,37
AMADIAB 4,,30/10/2025,GLIMEPIRIDE 4MG,TAB,TAB,BIASA,9102,16,0,11,8658,0,105
AMARYL 1MG,,,,TAB,TAB,BIASA,0,16,3668,11,3668,0,0
AMARYL 2MG,,,,TAB,TAB,BIASA,0,16,7231,11,7231,0,0
AMARYL 3MG,,,,TAB,TAB,BIASA,0,16,8556,11,8556,0,0
AMARYL 4MG,,,,TAB,TAB,BIASA,0,16,9757,11,9757,0,0
AMARYL M 1MG,,,,TAB,TAB,BIASA,0,16,4705,11,4705,0,0
AMARYL M 2MG,,30/05/2025,,TAB,TAB,BIASA,8751,16,0,11,8334,0,25
AMLODIPINE 10MG,,,,TAB,TAB,BIASA,0,25,1000,11,1000,0,0
AMOXSAN 500MG,,30/05/2027,,KAPSUL,TAB,BIASA,3663,16,0,11,3663,0,28
ANALSIK TABLET,,30/09/2026,"DIAZEPAM, METHAMPHYRON",TAB,TAB,PSIKOTROPIKA,1943,25,0,25,1832,0,197
ANALTRAM,,30/06/2026,,TAB,TAB,BIASA,10823,16,0,11,10823,0,55
ANGINTRIZ MR 35MG,,30/08/2026,,TAB,TAB,BIASA,3700,16,0,11,3330,0,109
APIALYS DROP,,31/08/2026,,FLS,SYR,BIASA,52725,16,0,11,49950,0,2
APIALYS SYRUP,,31/03/2026,,FLS,SYR,BIASA,44400,16,0,11,42180,0,3
ARCAPEC SYR,,31/07/2026,,FLS,SYR,BIASA,20535,16,0,11,20535,0,15
ARKINE 2MG,,30/07/2027,TRIHEXYPHENIDIL,TAB,TAB,BIASA,1027,20,0,20,933,0,9010
ASTHIN FORCE 4MG,,,,KAPSUL,TAB,BIASA,0,16,7639,11,7639,0,0
AVAMYS NASAL SPRAY,,28/02/2027,,FLS,SRAY,BIASA,267044,16,0,11,201924,0,3
BACTROBAN CR KECIL,,,,TUBE,SLP,BIASA,0,16,38500,11,38500,0,0
BAQUINOR F,,30/05/2026,CIPROFLOXACIN,TAB,TAB,BIASA,15429,16,0,11,15063,0,77
BATUGIN ELIXIR 120ML,,,,FLS,SYR,BIASA,0,16,20351,11,20351,0,0
B-BETA 5MG,,30/09/2025,BISOPROLOL,TAB,TAB,BIASA,7770,16,0,11,7770,0,35
BECOM C,,30/09/2025,,TAB,TAB,BIASA,1887,16,0,11,1776,0,159
BECOM ZET,,30/07/2026,,TAB,TAB,BIASA,2498,16,0,11,2387,0,77
BENOSON N CREAM,,,,TUBE,SLP,BIASA,0,16,18668,11,18668,0,0
BERRY VISION DISPERB,,30/06/2025,,TAB,TAB,BIASA,2609,16,0,11,2498,0,85
BERRY VISION TABLET,,,,TAB,TAB,BIASA,0,16,3663,11,3663,0,0
BIOCOMBIN KAPLET,,30/05/2026,,TAB,TAB,BIASA,1610,16,0,11,1610,0,221
BIOFOS SYR,,30/11/2025,,FLS,SYR,BIASA,63825,16,0,11,63825,0,5
BIOLYSIN SYR 100 ML,,,,FLS,SYR,BIASA,0,15,14520,11,14520,0,0
BIOLYSIN SYR 60 ML,,,,FLS,SYR,BIASA,0,16,12210,11,12210,0,0
BIOLYSIN KIDS (ALL VAR),,,,FLS,TAB,BIASA,0,15,14430,11,14430,0,0
BIOLYSIN SMART 100 ML,,,,FLS,SYR,BIASA,0,15,16500,11,16500,0,0
BIOLYSIN SMART 60 ML,,,,FLS,SYR,BIASA,0,16,12650,11,12650,0,0
BIOPLACENTON SALEP,,30/01/2026,,TUBE,SLP,BIASA,28860,16,0,11,26640,0,2
BRALIFEX 0.3% TM,,30/08/2026,,FLS,TM,BIASA,41126,16,0,11,39128,0,2
