"kode","nama","tanggal_expired","satuan","jenis","kelompok","harga_beli","up_a","harga_a","up_b","harga_b","stok_awal","stok_akhir"
"1","ABILIVY TABLET 10MG","3/22/2023","TABLET","TABLET","BIASA","4.4","20","4.972","21","51.595","0:00","3:00"
"2","ABILIVY TABLET 5MG","","TABLET","TABLET","BIASA","0","22","28.378","21","28.378","0:00","-10.00"
"3","AB-VASK 10MG","4/30/2027","TABLET","TABLET","BIASA","13.875","16","16.095","11","15.401","0:00","50:00:00"
"4","AB-VASK 5MG","2/28/2027","TABLET","TABLET","BIASA","7.77","16","0","11","7.493","0:00","85:00:00"
"5","AFAMED 320MG","","KAPSULUL","TABLET","BIASA","0","16","8.51","11","8.51","0:00","-1.00"
"6","AGREZOL 50MG TABLETLET","","TABLET","TABLET","BIASA","0","16","6.38","11","6.38","0:00","0:00"
"7","ALABETIC CAPS","","TABLETLET","TABLET","BIASA","0","16","4.4","11","4.4","0:00","-1.00"
"8","ALCO DROP","","FLS","DROP","BIASA","0","16","101.01","11","101.01","0:00","0:00"
"9","ALGANAX 0,5MG","5/30/2026","TABLET","TABLET","PSIKOTROPIKA","3.885","25","0","25","3.885","0:00","296:00:00"
"10","ALGANAX 1MG","8/30/2026","TABLET","TABLET","PSIKOTROPIKA","5.994","25","0","25","5.994","0:00","529:00:00"
"11","ALINAMIN F TABLETLET","","TABLET","TABLET","BIASA","0","16","1.32","11","1.32","0:00","0:00"
"12","ALOCLAIR PLUS 8ML GEL","","TUBE","SLP","BIASA","0","16","85.47","11","85.47","0:00","0:00"
"13","AMADIAB 1","10/30/2025","TABLET","TABLET","BIASA","3.552","16","0","11","3.219","0:00","55:00:00"
"14","AMADIAB 2","12/30/2025","TABLET","TABLET","BIASA","6.105","16","0","11","5.828","0:00","97:00:00"
"15","AMADIAB 3","3/30/2025","TABLET","TABLET","BIASA","7.548","16","0","11","7.215","0:00","37:00:00"
"16","AMADIAB 4","10/30/2025","TABLET","TABLET","BIASA","9.102","16","0","11","8.658","0:00","105:00:00"
"17","AMARYL 1MG","","TABLET","TABLET","BIASA","0","16","3.668","11","3.668","0:00","0:00"
"18","AMARYL 2MG","","TABLET","TABLET","BIASA","0","16","7.231","11","7.231","0:00","0:00"
"19","AMARYL 3MG","","TABLET","TABLET","BIASA","0","16","8.556","11","8.556","0:00","0:00"
"20","AMARYL 4MG","","TABLET","TABLET","BIASA","0","16","9.757","11","9.757","0:00","0:00"
"21","AMARYL M 1MG","","TABLET","TABLET","BIASA","0","16","4.705","11","4.705","0:00","0:00"
"22","AMARYL M 2MG","5/30/2025","TABLET","TABLET","BIASA","8.751","16","0","11","8.334","0:00","25:00:00"
"23","AMLODIPINE 10MG","","TABLET","TABLET","BIASA","0","25","1","11","1","0:00","0:00"
"24","AMOXSAN 500MG","5/30/2027","KAPSULUL","TABLET","BIASA","3.663","16","0","11","3.663","0:00","28:00:00"
"25","ANALSIK TABLETLET","9/30/2026","TABLET","TABLET","PSIKOTROPIKA","1.943","25","0","25","1.832","0:00","197:00:00"
"26","ANALTRAM","6/30/2026","TABLET","TABLET","BIASA","10.823","16","0","11","10.823","0:00","55:00:00"
"27","ANGINTRIZ MR 35MG","8/30/2026","TABLET","TABLET","BIASA","3.7","16","0","11","3.33","0:00","109:00:00"
"28","APIALYS DROP","8/31/2026","FLS","SYR","BIASA","52.725","16","0","11","49.95","0:00","2:00"
"29","APIALYS SYRUP","3/31/2026","FLS","SYR","BIASA","44.4","16","0","11","42.18","0:00","3:00"
"30","ARCAPEC SYR","7/31/2026","FLS","SYR","BIASA","20.535","16","0","11","20.535","0:00","15:00"
"31","ARKINE 2MG","7/30/2027","TABLET","TABLET","BIASA","1.027","20","0","20","933","0:00","9,010.00"
"32","ASTHIN FORCE 4MG","","KAPSULUL","TABLET","BIASA","0","16","7.639","11","7.639","0:00","0:00"
"33","AVAMYS NASAL SPRAY","2/28/2027","FLS","SRAY","BIASA","267.044","16","0","11","201.924","0:00","3:00"
"34","BACTROBAN CR KECIL","","TUBE","SLP","BIASA","0","16","38.5","11","38.5","0:00","0:00"
"35","BAQUINOR F","5/30/2026","TABLET","TABLET","BIASA","15.429","16","0","11","15.063","0:00","77:00:00"
"36","BATUGIN ELIXIR 120ML","","FLS","SYR","BIASA","0","16","20.351","11","20.351","0:00","0:00"
"37","B-BETA 5MG","9/30/2025","TABLET","TABLET","BIASA","7.77","16","0","11","7.77","0:00","35:00:00"
"38","BECOM C","9/30/2025","TABLET","TABLET","BIASA","1.887","16","0","11","1.776","0:00","159:00:00"
"39","BECOM ZET","7/30/2026","TABLET","TABLET","BIASA","2.498","16","0","11","2.387","0:00","77:00:00"
"40","BENOSON N CREAM","","TUBE","SLP","BIASA","0","16","18.668","11","18.668","0:00","0:00"
"41","BERRY VISION DISPERB","6/30/2025","TABLET","TABLET","BIASA","2.609","16","0","11","2.498","0:00","85:00:00"
"42","BERRY VISION TABLETLET","","TABLET","TABLET","BIASA","0","16","3.663","11","3.663","0:00","0:00"
"43","BIOCOMBIN KAPLET","5/30/2026","TABLET","TABLET","BIASA","1.61","16","0","11","1.61","0:00","221:00:00"
"44","BIOFOS SYR","11/30/2025","FLS","SYR","BIASA","63.825","16","0","11","63.825","0:00","5:00"
"45","BIOLYSIN SYR 100 ML","","FLS","SYR","BIASA","0","15","14.52","11","14.52","0:00","0:00"
"46","BIOLYSIN SYR 60 ML","","FLS","SYR","BIASA","0","16","12.21","11","12.21","0:00","0:00"
"47","BIOLYSIN KIDS (ALL VAR)","","FLS","TABLET","BIASA","0","15","14.43","11","14.43","0:00","0:00"
"48","BIOLYSIN SMART 100 ML","","FLS","SYR","BIASA","0","15","16.5","11","16.5","0:00","0:00"
"49","BIOLYSIN SMART 60 ML","","FLS","SYR","BIASA","0","16","12.65","11","12.65","0:00","0:00"
"50","BIOPLACENTON SALEP","1/30/2026","TUBE","SLP","BIASA","28.86","16","0","11","26.64","0:00","2:00"
"51","BRALIFEX 0.3% TM","8/30/2026","FLS","TM","BIASA","41.126","16","0","11","39.128","0:00","2:00"
